식품이름,1회제공량 (g),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
검보스프,199,4.74,7.1,6.23,0.0,160.06,0.0,0.0,0.0
검은콩스프,219,16.75,15.31,13.12,0.0,119.27,0.0,0.0,0.0
게살죽,800,107.34,17.9,7.1,0.17,1453.82,50.16,2.11,0.07
고구마타락죽,332,37.32,7.14,21.48,0.0,160.92,0.0,0.0,0.0
깨죽,800,79.3,13.66,15.94,3.59,1160.18,0.0,2.82,0.01
단호박두부포타주,275,11.94,6.52,3.82,0.0,378.59,0.0,0.0,0.0
단호박스프,200,15.98,3.08,3.86,0.0,45.7,0.0,0.0,0.0
닭죽닭도가니성남,1000,98.9,88.05,42.27,5.0,794.48,344.06,11.83,0.22
대구크림스튜,125,4.44,28.08,5.54,0.0,405.51,0.0,0.0,0.0
대추죽,110,29.3,2.95,0.86,0.0,1.55,0.0,0.0,0.0
백합죽부안,700,84.75,16.46,5.61,0.0,996.79,32.1,1.33,0.01
새우살을채운두부스프미네스트로네,200,6.06,13.86,4.66,0.0,361.36,0.0,0.0,0.0
소고기버섯죽,800,109.02,18.74,7.46,0.26,1261.8,26.08,2.72,0.14
송이미역죽,150,25.6,4.24,2.44,0.0,309.17,0.0,0.0,0.0
쇠고기스튜,239,5.9,11.71,3.39,0.0,244.83,0.0,0.0,0.0
어죽영동,800,100.82,20.38,7.48,9.78,2105.53,35.46,1.66,0.0
완두콩스프,230,20.82,12.42,4.81,0.0,116.75,0.0,0.0,0.0
잣죽,700,155.27,19.18,19.63,2.36,878.82,0.0,1.99,0.24
전복죽,800,114.31,12.58,9.26,0.22,1309.46,28.47,1.79,0.05
차가운당근스프,200,13.24,2.32,3.22,0.0,56.36,0.0,0.0,0.0
참치죽,800,104.57,24.19,16.06,1.36,1342.4,39.96,1.82,0.06
팥죽,600,97.81,18.43,3.68,1.69,1026.43,0.0,0.49,0.01
해산물을곁들인매콤한토마토스튜,197,6.76,16.29,3.49,0.0,337.99,0.0,0.0,0.0
호박죽,600,89.39,7.09,6.32,16.7,929.2,1.72,1.06,0.01
흑임자두부죽,160,23.55,7.04,4.77,0.0,2.14,0.0,0.0,0.0
갈낙탕영암,400,0.84,35.79,12.8,1.28,847.98,209.08,5.8,0.43
갈비탕,600,7.61,27.38,10.76,0.0,1717.54,112.25,2.86,0.16
게국지태안,1100,31.7,44.91,12.09,10.77,4047.26,388.15,1.97,0.15
고등어찌개,600,25.61,48.9,33.73,7.35,2584.06,156.05,7.06,0.31
곰치국삼척,1000,23.9,54.31,11.83,2.77,3802.06,476.47,1.36,0.13
곰탕,700,7.35,70.13,29.97,0.0,822.77,197.94,7.97,0.75
굴두부국,151,3.43,4.82,2.85,0.0,256.68,0.0,0.0,0.0
김치국,100,2.33,1.21,0.63,0.65,364.91,0.0,0.07,0.0
꼬리곰탕,700,4.63,102.31,37.56,0.0,765.74,251.92,9.81,1.04
꽃게탕,600,18.09,28.39,5.83,1.32,2247.58,212.81,0.85,0.03
낙지탕,600,10.38,29.36,3.2,1.94,1704.69,292.42,0.44,0.01
냉국미역오이냉국,100,3.25,0.51,0.29,2.15,320.79,0.0,0.02,0.0
냉국오이냉국,100,3.49,0.48,0.28,2.46,288.56,0.0,0.03,0.0
달걀국,100,1.31,3.57,2.34,0.03,274.63,93.91,0.75,0.01
닭곰탕닭국,100,2.79,11.13,2.74,0.06,156.16,47.17,0.69,0.01
대구지리탕,600,9.89,41.61,6.22,1.47,1476.25,283.09,1.1,0.08
도가니탕,800,4.54,100.88,16.83,0.0,598.16,163.79,4.71,0.44
